,Reasons Group 1,Reasons Group 2,Reasons Group 3,Reasons Group 4,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
179,1,0,0,0,30/03/2016,179,51,38,343.253,31,1,0,0,3
180,1,0,0,0,17/03/2016,279,5,39,343.253,24,1,2,0,16
181,0,0,0,1,18/03/2016,225,26,28,343.253,24,1,1,2,2
182,1,0,0,0,25/03/2016,248,25,47,343.253,32,1,2,1,3
183,0,0,0,1,28/03/2016,225,26,28,343.253,24,1,1,2,1
184,0,0,0,1,06/04/2016,291,31,40,326.452,25,1,1,1,1
185,0,0,0,1,13/04/2016,225,26,28,326.452,24,1,1,2,1
186,0,0,0,1,12/04/2016,155,12,34,326.452,25,1,2,0,1
187,1,0,0,0,13/04/2016,246,25,41,326.452,23,1,0,0,24
188,0,0,0,1,14/04/2016,155,12,34,326.452,25,1,2,0,1
189,0,0,0,1,15/04/2016,225,26,28,326.452,24,1,1,2,2
190,0,0,0,1,15/04/2016,260,50,36,326.452,23,1,4,0,4
191,1,0,0,0,06/04/2016,179,51,38,326.452,31,1,0,0,24
192,0,0,0,1,07/04/2016,118,13,50,326.452,31,1,1,0,1
193,0,0,0,1,08/04/2016,291,31,40,326.452,25,1,1,1,3
194,1,0,0,0,08/04/2016,246,25,41,326.452,23,1,0,0,8
195,0,0,0,1,22/04/2016,291,31,40,326.452,25,1,1,1,1
196,0,0,0,1,29/04/2016,248,25,47,326.452,32,1,2,1,8
197,0,0,1,0,29/04/2016,260,50,36,326.452,23,1,4,0,56
198,0,0,1,0,26/04/2016,289,36,33,326.452,30,1,2,1,8
199,1,0,0,0,27/04/2016,155,12,34,326.452,25,1,2,0,24
200,0,0,1,0,27/04/2016,378,49,36,326.452,21,1,2,4,8
201,1,0,0,0,28/04/2016,289,36,33,326.452,30,1,2,1,16
202,1,0,0,0,08/04/2016,235,11,37,326.452,29,3,1,1,3
203,0,0,0,0,04/04/2016,235,29,48,326.452,33,1,1,5,0
204,1,0,0,0,04/05/2016,289,36,33,378.884,30,1,2,1,8
205,0,0,0,1,05/05/2016,155,12,34,378.884,25,1,2,0,2
206,0,0,0,1,02/05/2016,155,12,34,378.884,25,1,2,0,1
207,0,0,1,0,03/05/2016,179,51,38,378.884,31,1,0,0,8
208,0,0,1,0,03/05/2016,225,26,28,378.884,24,1,1,2,8
209,1,0,0,0,11/05/2016,184,42,27,378.884,21,1,0,0,4
210,0,0,0,1,09/05/2016,155,12,34,378.884,25,1,2,0,2
211,1,0,0,0,10/05/2016,179,51,38,378.884,31,1,0,0,1
212,1,0,0,0,04/05/2016,289,36,33,378.884,30,1,2,1,24
213,0,0,0,0,11/05/2016,279,5,39,378.884,24,1,2,0,0
214,0,0,0,0,18/05/2016,330,16,28,378.884,25,2,0,0,0
215,0,0,0,0,25/05/2016,378,49,36,378.884,21,1,2,4,0
216,0,0,0,0,25/05/2016,388,15,50,378.884,24,1,0,0,0
217,1,0,0,0,24/05/2016,179,51,38,378.884,31,1,0,0,1
218,1,0,0,0,11/05/2016,118,13,50,378.884,31,1,1,0,24
219,0,0,0,1,27/05/2016,361,52,28,378.884,27,1,1,4,8
220,0,0,1,0,06/06/2016,246,25,41,377.55,23,1,0,0,8
221,0,0,0,1,13/06/2016,361,52,28,377.55,27,1,1,4,8
222,1,0,0,0,14/06/2016,246,25,41,377.55,23,1,0,0,24
223,0,0,0,1,16/06/2016,291,31,40,377.55,25,1,1,1,4
224,1,0,0,0,17/06/2016,246,25,41,377.55,23,1,0,0,8
225,1,0,0,0,13/06/2016,179,51,38,377.55,31,1,0,0,8
226,0,0,0,1,20/06/2016,155,12,34,377.55,25,1,2,0,4
227,1,0,0,0,27/06/2016,246,25,41,377.55,23,1,0,0,8
228,1,0,0,0,29/06/2016,118,13,50,377.55,31,1,1,0,8
229,1,0,0,0,03/06/2016,235,11,37,377.55,29,3,1,1,16
230,0,0,0,1,07/06/2016,118,13,50,377.55,31,1,1,0,1
231,1,0,0,0,08/06/2016,118,13,50,377.55,31,1,1,0,80
232,0,0,0,1,09/06/2016,378,49,36,377.55,21,1,2,4,8
233,1,0,0,0,10/06/2016,179,51,38,377.55,31,1,0,0,2
234,0,0,0,1,20/06/2016,289,48,49,377.55,36,1,0,2,2
235,0,0,0,1,30/06/2016,225,26,28,377.55,24,1,1,2,2
236,0,0,1,0,05/07/2016,155,12,34,275.312,25,1,2,0,16
237,1,0,0,0,06/07/2016,118,13,50,275.312,31,1,1,0,8
238,1,0,0,0,08/07/2016,118,10,37,275.312,28,1,0,0,8
239,0,0,0,1,08/07/2016,118,10,37,275.312,28,1,0,0,4
240,0,0,0,1,12/07/2016,330,16,28,275.312,25,2,0,0,8
241,0,0,1,0,14/07/2016,179,26,30,275.312,19,3,0,0,8
242,0,0,0,1,15/07/2016,155,12,34,275.312,25,1,2,0,2
243,1,0,0,0,18/07/2016,330,16,28,275.312,25,2,0,0,8
244,1,0,0,0,19/07/2016,330,16,28,275.312,25,2,0,0,8
245,0,0,0,1,18/07/2016,157,27,29,275.312,22,1,0,0,3
246,0,0,0,1,19/07/2016,361,52,28,275.312,27,1,1,4,8
247,0,0,0,1,20/07/2016,289,36,33,275.312,30,1,2,1,8
248,0,0,0,1,21/07/2016,179,51,38,275.312,31,1,0,0,8
249,0,0,1,0,11/07/2016,289,36,33,275.312,30,1,2,1,32
250,0,0,1,0,14/07/2016,289,36,33,275.312,30,1,2,1,8
251,0,0,0,0,21/07/2016,260,50,36,275.312,23,1,4,0,0
252,0,0,1,0,04/08/2016,289,36,33,265.615,30,1,2,1,8
253,0,0,1,0,11/08/2016,157,27,29,265.615,22,1,0,0,3
254,0,0,0,1,07/08/2016,289,36,33,265.615,30,1,2,1,1
255,0,0,1,0,08/08/2016,228,14,58,265.615,22,1,2,1,8
256,1,0,0,0,10/08/2016,300,26,43,265.615,25,1,2,1,1
257,1,0,0,0,10/08/2016,300,26,43,265.615,25,1,2,1,2
258,0,0,0,1,11/08/2016,260,50,36,265.615,23,1,4,0,4
259,0,0,0,1,08/08/2016,289,36,33,265.615,30,1,2,1,4
260,0,0,0,1,09/08/2016,248,25,47,265.615,32,1,2,1,1
261,1,0,0,0,10/08/2016,268,11,33,265.615,25,2,0,0,8
262,0,0,0,1,10/08/2016,179,26,30,265.615,19,3,0,0,1
263,1,0,0,0,10/08/2016,118,13,50,265.615,31,1,1,0,3
264,0,0,0,1,14/08/2016,248,25,47,265.615,32,1,2,1,2
265,0,0,0,1,15/08/2016,235,11,37,265.615,29,3,1,1,1
266,0,0,0,1,17/08/2016,118,13,50,265.615,31,1,1,0,1
267,0,0,1,0,24/08/2016,235,11,37,265.615,29,3,1,1,8
268,1,0,0,0,08/08/2016,361,52,28,265.615,27,1,1,4,8
269,1,0,0,0,30/08/2016,184,42,27,265.615,21,1,0,0,8
270,1,0,0,0,05/09/2016,179,51,38,294.217,31,1,0,0,8
271,0,0,0,1,09/09/2016,179,51,38,294.217,31,1,0,0,3
272,0,0,1,0,07/09/2016,289,36,33,294.217,30,1,2,1,24
273,0,0,0,0,08/09/2016,235,20,43,294.217,38,1,1,0,0
274,1,0,0,0,12/09/2016,246,25,41,294.217,23,1,0,0,16
275,0,0,0,1,13/09/2016,291,31,40,294.217,25,1,1,1,3
276,0,0,0,0,13/09/2016,231,35,39,294.217,35,1,2,2,0
277,0,0,0,0,13/09/2016,291,50,32,294.217,23,1,0,0,0
278,1,0,0,0,14/09/2016,179,51,38,294.217,31,1,0,0,8
279,1,0,0,0,14/09/2016,246,25,41,294.217,23,1,0,0,32
280,0,0,0,1,15/09/2016,179,51,38,294.217,31,1,0,0,1
281,0,0,0,1,16/09/2016,291,31,40,294.217,25,1,1,1,4
282,0,0,0,1,16/09/2016,260,50,36,294.217,23,1,4,0,4
283,0,0,0,1,14/09/2016,235,20,43,294.217,38,1,1,0,8
284,0,0,0,1,15/09/2016,118,13,50,294.217,31,1,1,0,1
285,0,0,0,0,15/09/2016,235,20,43,294.217,38,1,1,0,0
286,0,0,0,1,16/09/2016,291,31,40,294.217,25,1,1,1,3
287,1,0,0,0,26/09/2016,291,31,40,294.217,25,1,1,1,40
288,1,0,0,0,26/09/2016,179,51,38,294.217,31,1,0,0,8
289,0,0,0,1,05/10/2016,289,36,33,265.017,30,1,2,1,8
290,0,0,0,1,05/10/2016,235,11,37,265.017,29,3,1,1,4
291,0,0,0,1,05/10/2016,289,36,33,265.017,30,1,2,1,8
292,0,0,0,1,06/10/2016,289,36,33,265.017,30,1,2,1,8
293,0,0,0,0,06/10/2016,118,13,50,265.017,31,1,1,0,0
294,0,0,0,0,06/10/2016,248,25,47,265.017,32,1,2,1,0
295,1,0,0,0,12/10/2016,179,26,30,265.017,19,3,0,0,8
296,1,0,0,0,12/10/2016,118,10,37,265.017,28,1,0,0,3
297,0,0,0,1,12/10/2016,369,17,31,265.017,25,1,3,0,8
298,0,0,0,1,14/10/2016,179,51,38,265.017,31,1,0,0,1
299,1,0,0,0,14/10/2016,179,26,30,265.017,19,3,0,0,64
300,0,0,0,0,14/10/2016,235,20,43,265.017,38,1,1,0,0
301,0,0,1,0,15/10/2016,289,36,33,265.017,30,1,2,1,16
302,0,0,0,1,16/10/2016,260,50,36,265.017,23,1,4,0,3
303,0,0,0,0,16/10/2016,235,20,43,265.017,38,1,1,0,0
304,0,0,0,1,19/10/2016,235,20,43,265.017,38,1,1,0,2
305,0,0,0,1,19/10/2016,235,20,43,265.017,38,1,1,0,2
306,0,0,0,1,20/10/2016,118,13,50,265.017,31,1,1,0,1
307,0,0,0,1,20/10/2016,291,31,40,265.017,25,1,1,1,4
308,0,0,0,1,22/10/2016,179,26,30,265.017,19,3,0,0,16
309,0,0,0,1,22/10/2016,118,13,50,265.017,31,1,1,0,1
310,1,0,0,0,26/10/2016,361,52,28,265.017,27,1,1,4,8
311,0,0,0,0,27/10/2016,260,50,36,265.017,23,1,4,0,0
312,0,0,0,0,27/10/2016,291,31,40,265.017,25,1,1,1,0
313,0,0,0,0,27/10/2016,157,27,29,265.017,22,1,0,0,0
314,1,0,0,0,28/10/2016,179,26,30,265.017,19,3,0,0,5
315,1,0,0,0,28/10/2016,179,26,30,265.017,19,3,0,0,5
316,0,0,0,1,29/10/2016,118,13,50,265.017,31,1,1,0,1
317,1,0,0,0,07/11/2016,118,10,37,284.031,28,1,0,0,8
318,0,0,0,1,07/11/2016,248,25,47,284.031,32,1,2,1,2
319,1,0,0,0,08/11/2016,179,51,38,284.031,31,1,0,0,8
320,0,0,0,1,11/11/2016,260,50,36,284.031,23,1,4,0,3
321,0,0,0,1,14/11/2016,291,31,40,284.031,25,1,1,1,1
322,1,0,0,0,14/11/2016,378,49,36,284.031,21,1,2,4,8
323,1,0,0,0,14/11/2016,155,12,34,284.031,25,1,2,0,120
324,0,0,0,1,14/11/2016,235,20,43,284.031,38,1,1,0,8
325,0,0,0,0,15/11/2016,330,16,28,284.031,25,2,0,0,0
326,0,0,1,0,16/11/2016,235,11,37,284.031,29,3,1,1,1
327,1,0,0,0,16/11/2016,118,10,37,284.031,28,1,0,0,3
328,0,0,0,1,17/11/2016,235,11,37,284.031,29,3,1,1,2
329,0,0,0,1,17/11/2016,179,51,38,284.031,31,1,0,0,3
330,1,0,0,0,18/11/2016,246,25,41,284.031,23,1,0,0,8
331,1,0,0,0,18/11/2016,291,31,40,284.031,25,1,1,1,4
332,1,0,0,0,21/11/2016,246,25,41,284.031,23,1,0,0,8
333,0,0,0,1,22/11/2016,179,51,38,284.031,31,1,0,0,1
334,1,0,0,0,23/11/2016,260,50,36,284.031,23,1,4,0,8
335,0,1,0,0,25/11/2016,260,50,36,284.031,23,1,4,0,8
336,0,0,0,0,25/11/2016,378,49,36,284.031,21,1,2,4,0
337,0,0,0,0,29/11/2016,279,5,39,284.031,24,1,2,0,0
338,0,0,0,1,24/11/2016,179,51,38,284.031,31,1,0,0,1
339,1,0,0,0,05/12/2016,225,26,28,236.629,24,1,1,2,3
340,0,0,0,1,05/12/2016,179,51,38,236.629,31,1,0,0,2
341,0,0,0,1,05/12/2016,179,51,38,236.629,31,1,0,0,1
342,0,0,0,1,05/12/2016,235,11,37,236.629,29,3,1,1,3
343,0,0,0,1,06/12/2016,118,13,50,236.629,31,1,1,0,1
344,0,0,0,1,09/12/2016,260,50,36,236.629,23,1,4,0,4
345,1,0,0,0,15/12/2016,246,25,41,236.629,23,1,0,0,8
346,0,0,0,1,15/12/2016,179,51,38,236.629,31,1,0,0,1
347,0,0,0,1,16/12/2016,179,51,38,236.629,31,1,0,0,1
348,0,0,0,1,20/12/2016,179,26,30,236.629,19,3,0,0,1
349,0,0,0,1,20/12/2016,118,10,37,236.629,28,1,0,0,8
350,0,0,0,1,22/12/2016,235,11,37,236.629,29,3,1,1,2
351,0,0,0,1,23/12/2016,179,51,38,236.629,31,1,0,0,1
352,1,0,0,0,20/12/2016,235,20,43,236.629,38,1,1,0,8
353,1,0,0,0,20/12/2016,235,11,37,236.629,29,3,1,1,4
354,0,0,0,1,21/12/2016,260,50,36,236.629,23,1,4,0,8
355,0,0,0,1,19/12/2016,157,27,29,236.629,22,1,0,0,2
356,0,0,0,1,19/12/2016,179,51,38,236.629,31,1,0,0,3
357,0,0,1,0,19/12/2016,289,36,33,236.629,30,1,2,1,8
358,0,0,0,1,04/01/2017,225,26,28,330.061,24,1,1,2,5
359,0,0,1,0,09/01/2017,118,10,37,330.061,28,1,0,0,32
360,0,0,0,1,09/01/2017,155,12,34,330.061,25,1,2,0,2
361,1,0,0,0,03/01/2017,235,11,37,330.061,29,3,1,1,1
362,0,0,0,1,03/01/2017,155,12,34,330.061,25,1,2,0,4
363,0,0,0,1,09/01/2017,289,36,33,330.061,30,1,2,1,8
364,1,0,0,0,11/01/2017,291,31,40,330.061,25,1,1,1,8
365,0,0,0,1,16/01/2017,235,20,43,330.061,38,1,1,0,8
366,0,0,0,1,16/01/2017,118,13,50,330.061,31,1,1,0,4
367,0,0,0,1,25/01/2017,179,51,38,330.061,31,1,0,0,1
368,0,0,0,1,27/01/2017,179,51,38,330.061,31,1,0,0,1
369,0,0,0,1,07/02/2017,118,10,37,251.818,28,1,0,0,2
370,0,0,0,1,01/02/2017,179,51,38,251.818,31,1,0,0,3
371,1,0,0,0,01/02/2017,225,26,28,251.818,24,1,1,2,1
372,0,0,0,1,03/02/2017,289,36,33,251.818,30,1,2,1,3
